Y,X,id,Type,Name
7.22839175388431,80.809739242331,119,hp,
7.22735287856094,80.9238852050161,120,hp,
7.31668738248998,80.6840739623107,121,p2,
7.53683044526747,80.6379966929699,122,p2,
7.47972848322316,80.6065803729649,123,p,
7.5482499353222,80.6086747942986,124,p,
7.18570145677683,80.9949051284214,125,hp,
7.21309171214596,81.0472656617632,126,g2,Rantembe
7.28769811510075,81.1557947672353,127,g2,Mahiyangane
7.38117464893641,81.377613026665,128,p,
7.435929511438,81.5994312860947,129,p,
7.12335886393264,81.6317996157969,130,p,
7.24520231284077,81.608951383066,131,hp,
7.40855293138192,81.6870161782301,132,g2,Ampara
7.47840702675825,81.6698800036819,133,p,
7.57844878382508,81.7308086242978,134,g2,Vavunativu
7.57750510184453,80.6921660447363,135,p,
7.64733196224921,80.728342413227,136,hp,
